fecha,id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
2020-03-23,11,Aysén,1,0,,,0,0,0.0,0
2020-03-23,12,Magallanes,6,2,,,0,0,0.0,0
2020-03-23,13,Metropolitana,459,50,,,0,0,0.0,0
2020-03-24,2,Antofagasta,13,2,,,0,0,0.0,0
2020-03-24,1,Tarapacá,4,3,,,0,0,0.0,0
2020-03-24,15,Arica y Parinacota,2,0,,,0,0,0.0,0
2020-03-24,12,Magallanes,8,2,,,0,0,0.0,0
2020-03-24,11,Aysén,1,0,,,0,0,0.0,0
2020-03-24,5,Valparaíso,25,6,,,0,0,0.0,0
2020-03-24,16,Ñuble,105,24,,,0,0,0.0,0
2020-03-24,6,O’Higgins,9,1,,,0,0,0.0,0
2020-03-24,7,Maule,29,1,,,0,0,0.0,0
2020-03-24,3,Atacama,1,0,,,0,0,0.0,0
2020-03-24,8,Biobío,73,27,,,0,0,0.0,0
2020-03-24,9,Araucanía,59,19,,,0,0,0.0,0
2020-03-24,14,Los Ríos,6,2,,,0,0,0.0,0
2020-03-24,10,Los Lagos,36,3,,,0,0,0.0,0
2020-03-24,13,Metropolitana,540,81,,,0,0,0.0,0
2020-03-24,4,Coquimbo,11,5,,,0,0,0.0,0
2020-03-25,15,Arica y Parinacota,2,0,,,0,0,0.0,0
2020-03-25,2,Antofagasta,19,6,,,0,0,0.0,0
2020-03-25,3,Atacama,1,0,,,0,0,0.0,0
2020-03-25,4,Coquimbo,12,1,,,0,0,0.0,0
2020-03-25,5,Valparaíso,32,7,,,0,0,0.0,0
2020-03-25,6,O’Higgins,11,2,,,0,0,0.0,0
2020-03-25,7,Maule,30,1,,,0,0,0.0,0
2020-03-25,16,Ñuble,111,6,,,0,0,0.0,0
2020-03-25,8,Biobío,95,22,,,1,1,0.0,0
2020-03-25,1,Tarapacá,4,0,,,0,0,0.0,0
2020-03-25,13,Metropolitana,682,142,,,2,2,0.0,0
2020-03-25,11,Aysén,1,0,,,0,0,0.0,0
2020-03-25,14,Los Ríos,11,5,,,0,0,0.0,0
2020-03-25,12,Magallanes,13,5,,,0,0,0.0,0
2020-03-25,10,Los Lagos,44,8,,,0,0,0.0,0
2020-03-25,9,Araucanía,74,15,,,0,0,0.0,0
2020-03-26,15,Arica y Parinacota,3,1,,,0,0,0.0,0
2020-03-26,1,Tarapacá,5,1,,,0,0,0.0,0
2020-03-26,3,Atacama,1,0,,,0,0,0.0,0
2020-03-26,4,Coquimbo,13,1,,,0,0,0.0,0
2020-03-26,5,Valparaíso,44,12,,,0,0,0.0,0
2020-03-26,13,Metropolitana,746,64,,,3,1,0.0,0
2020-03-26,6,O’Higgins,14,3,,,0,0,0.0,0
2020-03-26,16,Ñuble,114,3,,,0,0,0.0,0
2020-03-26,8,Biobío,109,14,,,1,0,0.0,0
2020-03-26,9,Araucanía,111,37,,,0,0,0.0,0
2020-03-26,14,Los Ríos,14,3,,,0,0,0.0,0
2020-03-26,10,Los Lagos,60,16,,,0,0,0.0,0
2020-03-26,11,Aysén,2,1,,,0,0,0.0,0
2020-03-26,7,Maule,31,1,,,0,0,0.0,0
2020-03-26,2,Antofagasta,20,1,,,0,0,0.0,0
2020-03-26,12,Magallanes,19,6,,,0,0,0.0,0
2020-03-27,16,Ñuble,144,30,,,0,0,0.0,0
2020-03-27,1,Tarapacá,5,0,,,0,0,0.0,0
2020-03-27,15,Arica y Parinacota,3,0,,,0,0,0.0,0
2020-03-27,4,Coquimbo,14,1,,,0,0,0.0,0
2020-03-27,5,Valparaíso,49,5,,,0,0,0.0,0
2020-03-27,13,Metropolitana,938,192,,,3,0,0.0,0
2020-03-27,6,O’Higgins,16,2,,,0,0,0.0,0
2020-03-27,7,Maule,32,1,,,0,0,0.0,0
2020-03-27,2,Antofagasta,21,1,,,0,0,0.0,0
2020-03-27,3,Atacama,1,0,,,0,0,0.0,0
2020-03-27,9,Araucanía,143,32,,,0,0,0.0,0
2020-03-27,14,Los Ríos,22,8,,,0,0,0.0,0
2020-03-27,10,Los Lagos,63,3,,,0,0,0.0,0
2020-03-27,11,Aysén,2,0,,,0,0,0.0,0
2020-03-27,12,Magallanes,22,3,,,0,0,0.0,0
2020-03-27,8,Biobío,135,26,,,2,1,0.0,0
2020-03-28,12,Magallanes,26,4,,,0,0,0.0,0
2020-03-28,10,Los Lagos,93,30,,,0,0,0.0,0
2020-03-28,14,Los Ríos,27,5,,,0,0,0.0,0
2020-03-28,13,Metropolitana,1084,146,,,3,0,0.0,0
2020-03-28,8,Biobío,151,16,,,2,0,0.0,0
2020-03-28,7,Maule,37,5,,,0,0,0.0,0
2020-03-28,16,Ñuble,172,28,,,0,0,0.0,0
2020-03-28,9,Araucanía,177,34,,,1,1,0.0,0
2020-03-28,11,Aysén,2,0,,,0,0,0.0,0
2020-03-28,5,Valparaíso,71,22,,,0,0,0.0,0
2020-03-28,6,O’Higgins,20,4,,,0,0,0.0,0
2020-03-28,3,Atacama,1,0,,,0,0,0.0,0
2020-03-28,2,Antofagasta,25,4,,,0,0,0.0,0
2020-03-28,1,Tarapacá,5,0,,,0,0,0.0,0
