fecha,id_region,nombre_region,id_comuna,nombre_comuna,casos_totales,poblacion,tasa
01-04-2020,2,Antofagasta,2103,Sierra Gorda,0,1746,0.0
01-04-2020,2,Antofagasta,2104,Taltal,0,13657,0.0
01-04-2020,2,Antofagasta,2301,Tocopilla,2,28079,7.122760782079134
01-04-2020,3,Atacama,3302,Alto del Carmen,0,5729,0.0
01-04-2020,3,Atacama,3102,Caldera,0,19426,0.0
01-04-2020,3,Atacama,3201,Chañaral,0,13164,0.0
01-04-2020,3,Atacama,3101,Copiapó,2,171766,1.1643747889570695
01-04-2020,3,Atacama,3202,Diego de Almagro,1,14358,6.964758322886196
01-04-2020,3,Atacama,3303,Freirina,0,7681,0.0
01-04-2020,3,Atacama,3304,Huasco,0,11264,0.0
01-04-2020,3,Atacama,3103,Tierra Amarilla,0,14312,0.0
01-04-2020,3,Atacama,3301,Vallenar,0,57009,0.0
01-04-2020,4,Coquimbo,4103,Andacollo,0,11791,0.0
01-04-2020,4,Coquimbo,4202,Canela,0,9546,0.0
01-04-2020,4,Coquimbo,4302,Combarbalá,0,13884,0.0
01-04-2020,4,Coquimbo,4102,Coquimbo,19,256735,7.400627105770541
01-04-2020,4,Coquimbo,4201,Illapel,0,32801,0.0
01-04-2020,4,Coquimbo,4104,La Higuera,0,4450,0.0
01-04-2020,4,Coquimbo,4101,La Serena,3,249656,1.2016534751818502
01-04-2020,4,Coquimbo,4203,Los Vilos,1,23374,4.278257893385813
01-04-2020,4,Coquimbo,4303,Monte Patria,0,32527,0.0
01-04-2020,4,Coquimbo,4301,Ovalle,4,121269,3.298452201304538
01-04-2020,4,Coquimbo,4304,Punitaqui,0,12165,0.0
