id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales,Fecha
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-17
1,Tarapaca,0,0,0,0,0,0,2020-03-17
2,Antofagasta,0,2,0,0,0,0,2020-03-17
3,Atacama,0,1,0,0,0,0,2020-03-17
4,Coquimbo,0,0,0,0,0,0,2020-03-17
5,Vaparaiso,0,1,0,0,0,0,2020-03-17
13,Metropolitana,4,152,0,0,0,0,2020-03-17
6,Ohiggins,0,0,0,0,0,0,2020-03-17
7,Maule,2,9,0,0,0,0,2020-03-17
16,Nuble,0,26,0,0,0,0,2020-03-17
8,Biobio,0,4,0,0,0,0,2020-03-17
9,Araucania,0,1,0,0,0,0,2020-03-17
14,LosRios,0,1,0,0,0,0,2020-03-17
10,LosLagos,0,1,0,0,0,0,2020-03-17
11,Aysen,0,1,0,0,0,0,2020-03-17
12,Magallanes,0,2,0,0,0,0,2020-03-17
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-18
1,Tarapaca,0,0,0,0,0,0,2020-03-18
2,Antofagasta,0,2,0,0,0,0,2020-03-18
3,Atacama,0,1,0,0,0,0,2020-03-18
4,Coquimbo,0,0,0,0,0,0,2020-03-18
5,Vaparaiso,0,1,0,0,0,0,2020-03-18
13,Metropolitana,4,174,0,0,0,0,2020-03-18
6,Ohiggins,0,0,0,0,0,0,2020-03-18
7,Maule,2,11,0,0,0,0,2020-03-18
16,Nuble,0,26,0,0,0,0,2020-03-18
8,Biobio,0,7,0,0,0,0,2020-03-18
9,Araucania,0,4,0,0,0,0,2020-03-18
14,LosRios,0,1,0,0,0,0,2020-03-18
10,LosLagos,0,8,0,0,0,0,2020-03-18
11,Aysen,0,1,0,0,0,0,2020-03-18
12,Magallanes,0,2,0,0,0,0,2020-03-18
15,Arica y Parinacota,0,1,0,0,0,0,2020-03-19
1,Tarapaca,0,0,0,0,0,0,2020-03-19
2,Antofagasta,0,2,0,0,0,0,2020-03-19
3,Atacama,0,1,0,0,0,0,2020-03-19
4,Coquimbo,0,2,0,0,0,0,2020-03-19
5,Vaparaiso,0,4,0,0,0,0,2020-03-19
13,Metropolitana,4,247,0,0,0,0,2020-03-19
6,Ohiggins,0,2,0,0,0,0,2020-03-19
7,Maule,2,14,0,0,0,0,2020-03-19
16,Nuble,0,28,0,0,0,0,2020-03-19
8,Biobio,0,14,0,0,0,0,2020-03-19
9,Araucania,0,7,0,0,0,0,2020-03-19
14,LosRios,0,1,0,0,0,0,2020-03-19
10,LosLagos,0,16,0,0,0,0,2020-03-19
11,Aysen,0,1,0,0,0,0,2020-03-19
12,Magallanes,0,2,0,0,0,0,2020-03-19
15,Arica y Parinacota,0,1,0,0,0,0,2020-03-20
1,Tarapaca,0,0,0,0,0,0,2020-03-20
2,Antofagasta,0,6,0,0,0,0,2020-03-20
3,Atacama,0,1,0,0,0,0,2020-03-20
4,Coquimbo,0,3,0,0,0,0,2020-03-20
5,Vaparaiso,0,5,0,0,0,0,2020-03-20
13,Metropolitana,4,304,0,0,0,0,2020-03-20
6,Ohiggins,0,6,0,0,0,0,2020-03-20
7,Maule,2,14,0,0,0,0,2020-03-20
16,Nuble,0,44,0,0,0,0,2020-03-20
8,Biobio,0,19,0,0,0,0,2020-03-20
9,Araucania,0,9,0,0,0,0,2020-03-20
14,LosRios,0,1,0,0,0,0,2020-03-20
10,LosLagos,0,18,0,0,0,0,2020-03-20
11,Aysen,0,1,0,0,0,0,2020-03-20
12,Magallanes,0,2,0,0,0,0,2020-03-20
15,Arica y Parinacota,0,1,0,0,0,0,2020-03-21
1,Tarapaca,0,0,0,0,0,0,2020-03-21
2,Antofagasta,0,10,0,0,0,0,2020-03-21
3,Atacama,0,1,0,0,0,0,2020-03-21
4,Coquimbo,0,3,0,0,0,0,2020-03-21
5,Vaparaiso,0,13,0,0,0,0,2020-03-21
13,Metropolitana,4,359,0,0,0,0,2020-03-21
6,Ohiggins,0,7,0,0,0,0,2020-03-21
7,Maule,2,15,0,0,0,0,2020-03-21
16,Nuble,0,58,0,0,0,0,2020-03-21
8,Biobio,0,30,0,0,0,0,2020-03-21
9,Araucania,0,15,0,0,0,0,2020-03-21
14,LosRios,0,1,0,0,0,0,2020-03-21
10,LosLagos,0,20,0,0,0,0,2020-03-21
11,Aysen,0,1,0,0,0,0,2020-03-21
12,Magallanes,0,3,0,0,0,0,2020-03-21
15,Arica y Parinacota,0,2,0,0,0,0,2020-03-22
1,Tarapaca,0,0,0,0,0,0,2020-03-22
2,Antofagasta,0,11,0,0,0,0,2020-03-22
3,Atacama,0,1,0,0,0,0,2020-03-22
4,Coquimbo,0,5,0,0,0,0,2020-03-22
5,Vaparaiso,0,16,0,0,0,0,2020-03-22
13,Metropolitana,4,409,0,0,0,0,2020-03-22
6,Ohiggins,0,8,0,0,0,0,2020-03-22
7,Maule,2,25,0,0,0,0,2020-03-22
16,Nuble,0,64,0,0,0,0,2020-03-22
8,Biobio,0,35,0,0,0,0,2020-03-22
9,Araucania,0,27,0,0,0,0,2020-03-22
14,LosRios,0,1,0,0,0,0,2020-03-22
10,LosLagos,0,23,0,0,0,0,2020-03-22
11,Aysen,0,1,0,0,0,0,2020-03-22
12,Magallanes,0,4,0,0,0,0,2020-03-22
15,Arica y Parinacota,0,2,0,0,0,0,2020-03-23
1,Tarapaca,0,1,0,0,0,0,2020-03-23
2,Antofagasta,0,11,0,0,0,0,2020-03-23
3,Atacama,0,1,0,0,0,0,2020-03-23
4,Coquimbo,0,6,0,0,0,0,2020-03-23
5,Vaparaiso,0,19,0,0,0,0,2020-03-23
13,Metropolitana,4,459,0,0,0,0,2020-03-23
6,Ohiggins,0,8,0,0,0,0,2020-03-23
7,Maule,2,28,0,0,0,0,2020-03-23
16,Nuble,0,81,0,0,0,0,2020-03-23
8,Biobio,0,46,0,0,0,0,2020-03-23
9,Araucania,0,40,0,0,0,0,2020-03-23
14,LosRios,0,4,0,0,0,0,2020-03-23
10,LosLagos,0,33,0,0,0,0,2020-03-23
11,Aysen,0,1,0,0,0,0,2020-03-23
12,Magallanes,0,6,0,0,0,0,2020-03-23
15,Arica y Parinacota,0,2,0,0,0,0,2020-03-24
1,Tarapaca,0,4,0,0,0,0,2020-03-24
2,Antofagasta,0,13,0,0,0,0,2020-03-24
3,Atacama,0,1,0,0,0,0,2020-03-24
4,Coquimbo,0,11,0,0,0,0,2020-03-24
5,Vaparaiso,0,25,0,0,0,0,2020-03-24
13,Metropolitana,4,540,0,0,0,0,2020-03-24
6,Ohiggins,0,9,0,0,0,0,2020-03-24
7,Maule,2,29,0,0,0,0,2020-03-24
16,Nuble,0,105,0,0,0,0,2020-03-24
8,Biobio,0,73,0,0,0,0,2020-03-24
9,Araucania,0,59,0,0,0,0,2020-03-24
14,LosRios,0,6,0,0,0,0,2020-03-24
10,LosLagos,0,36,0,0,0,0,2020-03-24
11,Aysen,0,1,0,0,0,0,2020-03-24
12,Magallanes,0,8,0,0,0,0,2020-03-24
15,Arica y Parinacota,0,2,0,0,0,0,2020-03-25
1,Tarapaca,0,4,0,0,0,0,2020-03-25
2,Antofagasta,0,19,0,0,0,0,2020-03-25
3,Atacama,0,1,0,0,0,0,2020-03-25
4,Coquimbo,0,12,0,0,0,0,2020-03-25
5,Vaparaiso,0,32,0,0,0,0,2020-03-25
13,Metropolitana,4,682,0,2,0,0,2020-03-25
6,Ohiggins,0,11,0,0,0,0,2020-03-25
7,Maule,2,30,0,0,0,0,2020-03-25
16,Nuble,0,111,0,0,0,0,2020-03-25
8,Biobio,0,95,0,1,0,0,2020-03-25
9,Araucania,0,74,0,0,0,0,2020-03-25
14,LosRios,0,11,0,0,0,0,2020-03-25
10,LosLagos,0,44,0,0,0,0,2020-03-25
11,Aysen,0,1,0,0,0,0,2020-03-25
12,Magallanes,0,13,0,0,0,0,2020-03-25
15,Arica y Parinacota,1,3,0,0,0,0,,,,,2020-03-26
1,Tarapaca,1,5,0,0,0,0,,,,,2020-03-26
2,Antofagasta,1,20,0,0,0,0,,,,,2020-03-26
3,Atacama,0,1,0,0,0,0,,,,,2020-03-26
4,Coquimbo,1,13,0,0,0,0,,,,,2020-03-26
5,Vaparaiso,12,44,0,0,0,0,,,,,2020-03-26
13,Metropolitana,64,746,0,3,0,0,,,,,2020-03-26
6,Ohiggins,3,14,0,0,0,0,,,,,2020-03-26
7,Maule,1,31,0,0,0,0,,,,,2020-03-26
16,Nuble,3,114,0,0,0,0,,,,,2020-03-26
8,Biobio,14,109,0,1,0,0,,,,,2020-03-26
9,Araucania,37,111,0,0,0,0,,,,,2020-03-26
14,LosRios,3,14,0,0,0,0,,,,,2020-03-26
10,LosLagos,16,60,0,0,0,0,,,,,2020-03-26
11,Aysen,1,2,0,0,0,0,,,,,2020-03-26
12,Magallanes,6,19,0,0,0,0,,,,,2020-03-26
15,Arica y Parinacota,0,3,0,0,0,0,2020-03-27
1,Tarapaca,0,5,0,0,0,0,2020-03-27
2,Antofagasta,1,21,0,0,0,0,2020-03-27
3,Atacama,0,1,0,0,0,0,2020-03-27
4,Coquimbo,1,14,0,0,0,0,2020-03-27
5,Vaparaiso,5,49,0,0,0,0,2020-03-27
13,Metropolitana,192,938,0,3,0,0,2020-03-27
6,Ohiggins,2,16,0,0,0,0,2020-03-27
7,Maule,1,32,0,0,0,0,2020-03-27
16,Nuble,30,144,0,0,0,0,2020-03-27
8,Biobio,26,135,0,2,0,0,2020-03-27
9,Araucania,32,143,0,0,0,0,2020-03-27
14,LosRios,8,22,0,0,0,0,2020-03-27
10,LosLagos,3,63,0,0,0,0,2020-03-27
11,Aysen,0,2,0,0,0,0,2020-03-27
12,Magallanes,3,22,0,0,0,0,2020-03-27
15,Arica y Parinacota,0,3.0,0,0,0,0,,,,,,,2020-03-28
1,Tarapaca,0,5.0,0,0,0,0,,,,,,,2020-03-28
2,Antofagasta,4,25.0,0,0,0,0,,,,,,,2020-03-28
3,Atacama,0,1.0,0,0,0,0,,,,,,,2020-03-28
4,Coquimbo,1,15.0,0,0,0,0,,,,,,,2020-03-28
5,Vaparaiso,22,71.0,0,0,0,0,,,,,,,2020-03-28
